Time(s);Treat
6.9;a_cont
4.4;a_cont
5.4;a_cont
3.5;a_cont
8.3;a_cont
7.3;a_cont
4.6;a_cont
5.6;a_cont
8.1;a_cont
5.9;a_cont
1.8;d_Res_CARRA
3.6;d_Res_CARRA
3.6;d_Res_CARRA
2.8;d_Res_CARRA
3.3;d_Res_CARRA
12.6;d_Res_CARRA
2.3;d_Res_CARRA
4.9;d_Res_CARRA
13.6;d_Res_CARRA
5.9;d_Res_CARRA
11.5;b_VPA_50
11.8;b_VPA_50
19.9;b_VPA_50
18.7;b_VPA_50
19.3;b_VPA_50
8.3;b_VPA_50
19.9;b_VPA_50
12.9;b_VPA_50
8.3;b_VPA_50
18.3;b_VPA_50
12.7;e_RES_VPA
18.2;e_RES_VPA
19.3;e_RES_VPA
12.1;e_RES_VPA
11.7;e_RES_VPA
13.5;e_RES_VPA
8.2;e_RES_VPA
19.1;e_RES_VPA
18.4;e_RES_VPA
9.0;e_RES_VPA
9.7;c_SHAM
13.8;c_SHAM
10.9;c_SHAM
9.1;c_SHAM
12.2;c_SHAM
11.4;c_SHAM
10.1;c_SHAM
9.4;c_SHAM
11.3;c_SHAM
12;c_SHAM
10.6;SHAM_RES
8.7;SHAM_RES
4.4;SHAM_RES
7.3;SHAM_RES
7.2;SHAM_RES
7.7;SHAM_RES
5.6;SHAM_RES
8.4;SHAM_RES
8.9;SHAM_RES
9.8;SHAM_RES
