"Time(s)";"Treat"
6.9;"cont"
4.4;"cont"
5.4;"cont"
3.5;"cont"
8.3;"cont"
7.3;"cont"
4.6;"cont"
5.6;"cont"
8.1;"cont"
5.9;"cont"
9.7;"SHAM"
13.8;"SHAM"
10.9;"SHAM"
9.1;"SHAM"
12.2;"SHAM"
11.4;"SHAM"
10.1;"SHAM"
9.4;"SHAM"
11.3;"SHAM"
12;"SHAM"
11.5;"VPA_50"
11.8;"VPA_50"
19.9;"VPA_50"
18.7;"VPA_50"
19.3;"VPA_50"
8.3;"VPA_50"
19.9;"VPA_50"
12.9;"VPA_50"
8.3;"VPA_50"
18.3;"VPA_50"
8.6;"X_AMI_10"
17.2;"X_AMI_10"
16.7;"X_AMI_10"
8.2;"X_AMI_10"
5.3;"X_AMI_10"
8.8;"X_AMI_10"
11.1;"X_AMI_10"
4.7;"X_AMI_10"
14.9;"X_AMI_10"
15.5;"X_AMI_10"
21.2;"X_INDO_10"
17.9;"X_INDO_10"
19.7;"X_INDO_10"
13.5;"X_INDO_10"
13.2;"X_INDO_10"
7.8;"X_INDO_10"
1.8;"X_INDO_10"
12.1;"X_INDO_10"
8.3;"X_INDO_10"
11.7;"X_INDO_10"
