"Time(s)";"Treat"
6.9;"cont"
4.4;"cont"
5.4;"cont"
3.5;"cont"
8.3;"cont"
7.3;"cont"
4.6;"cont"
5.6;"cont"
8.1;"cont"
5.9;"cont"
9.7;"SHAM"
13.8;"SHAM"
10.9;"SHAM"
9.1;"SHAM"
12.2;"SHAM"
11.4;"SHAM"
10.1;"SHAM"
9.4;"SHAM"
11.3;"SHAM"
12;"SHAM"
11.5;"VPA_50"
11.8;"VPA_50"
19.9;"VPA_50"
18.7;"VPA_50"
19.3;"VPA_50"
8.3;"VPA_50"
19.9;"VPA_50"
12.9;"VPA_50"
8.3;"VPA_50"
18.3;"VPA_50"
8.6;"T_AMI_10"
17.2;"T_AMI_10"
16.7;"T_AMI_10"
8.2;"T_AMI_10"
5.3;"T_AMI_10"
8.8;"T_AMI_10"
11.1;"T_AMI_10"
4.7;"T_AMI_10"
14.9;"T_AMI_10"
15.5;"T_AMI_10"
21.2;"T_INDO_10"
17.9;"T_INDO_10"
19.7;"T_INDO_10"
13.5;"T_INDO_10"
13.2;"T_INDO_10"
7.8;"T_INDO_10"
1.8;"T_INDO_10"
12.1;"T_INDO_10"
8.3;"T_INDO_10"
11.7;"T_INDO_10"
20.4;"SHAM_VPA"
12.6;"SHAM_VPA"
19.6;"SHAM_VPA"
10.2;"SHAM_VPA"
19.8;"SHAM_VPA"
13.9;"SHAM_VPA"
21.1;"SHAM_VPA"
17.8;"SHAM_VPA"
26.2;"SHAM_VPA"
19.9;"SHAM_VPA"
