"T0";"T1";"T2";"T3";"T4";"T24";"Treat"
0,21;0,275;0,27;0,27;0,295;0,29;"cont"
0,25;0,295;0,345;0,305;0,315;0,27;"cont"
0,235;0,255;0,305;0,32;0,305;0,245;"cont"
0,265;0,3;0,34;0,39;0,31;0,245;"cont"
0,21;0,36;0,39;0,39;0,36;0,28;"cont"
0,21;0,265;0,31;0,31;0,34;0,27;"cont"
0,235;0,295;0,28;0,305;0,3;0,31;"cont"
0,215;0,305;0,295;0,3;0,285;0,235;"V10"
0,225;0,295;0,275;0,325;0,31;0,245;"V10"
0,235;0,27;0,285;0,34;0,335;0,23;"V10"
0,24;0,295;0,315;0,365;0,35;0,255;"V10"
0,27;0,31;0,31;0,35;0,32;0,305;"V10"
0,255;0,3;0,33;0,33;0,325;0,3;"V10"
0,255;0,285;0,345;0,34;0,285;0,28;"V50"
0,22;0,26;0,28;0,275;0,285;0,27;"V50"
0,23;0,3;0,385;0,345;0,29;0,32;"V50"
0,235;0,29;0,285;0,34;0,285;0,31;"V50"
0,235;0,275;0,375;0,345;0,325;0,28;"V50"
0,235;0,282;0,334;0,329;0,294;0,292;"V50"
0,215;0,225;0,215;0,215;0,21;0,295;"V100"
0,29;0,29;0,26;0,26;0,295;0,265;"V100"
0,21;0,21;0,265;0,25;0,295;0,235;"V100"
0,19;0,19;0,26;0,275;0,26;0,25;"V100"
0,22;0,22;0,28;0,26;0,28;0,275;"V100"
0,245;0,245;0,265;0,25;0,265;0,24;"V100"
