T0;T1;T2;T3;T4;T24;Treat
25;33;38,5;38,5;39;33,5;cont
23;36;44;45;46,5;40;cont
22;31;32,5;40;41,5;27,5;cont
21;31,5;35;38,5;35,5;30;cont
21;31,5;36;37,5;36,5;35;cont
21;25,5;35;42,5;38,5;31;cont
22;30;29;34,5;31,5;26;V10
21;26;28;32;29;24,5;V10
23,5;34,5;38;40;42,5;37,5;V10
23,5;32,5;34,5;37;35;31;V10
21,5;33;30,5;37;31,5;28;V10
21,5;27;29,5;30;29;29,5;V10
21,5;29;27;26;29;25,5;V50
23;28;28,5;30,5;31,5;25,5;V50
23,5;25,5;27;29;26,5;29;V50
25;25,5;31,5;31,5;27,5;27;V50
21,5;32,5;39,5;38;38;27;V50
23,5;34,5;33,5;34;36,5;36;V50
23,5;34,5;31,5;30;26;26,5;V100
21,5;28;29,5;25,5;25,5;24,5;V100
22;25,5;26;27;26;28;V100
21;25;27;24,5;23,5;23;V100
21,5;29;29,5;27,5;27;24,5;V100
22,5;26;25,5;26,5;24,5;23;V100
20,5;31;31,5;31;29,5;23;I20
22,5;32,5;33,5;35,5;35;27;I20
23;33,5;37;43;38,5;24,5;I20
22,5;30,5;30;33,5;28;27,5;I20
22,5;34,5;35;33,5;31;26;I20
20,5;27,5;30;35;27,5;27;I20
