T0;T30;T60;T90;T120;T150;T180;Treat
3,6;5,2;9;3,8;7,8;3,6;1,6;cont
9,4;9,8;6,8;15,6;16,4;16;10,6;cont
3,6;5,4;2,3;3,7;2,9;4,9;3,7;cont
6,7;12,9;16,5;3,8;23,9;12;7,3;cont
3,3;6,1;21,1;4,3;19,4;5,6;9,5;cont
12,8;12,5;17,9;21,9;21,2;13,2;9,6;cont
12,4;8,1;9,8;13,4;6,6;7,8;11,6;cont
6,8;6,6;9,6;7;4,5;10,2;6,5;cont
16,2;5,6;7,8;11,7;15,7;10,8;10,9;cont
13,1;15,4;13,3;21,8;31,6;11,5;13,6;V10
6,1;2,3;2,9;7,5;4,3;2,1;2,2;V10
8,5;8,6;10,3;9,1;9,1;6,4;15;V10
4;9,2;6,1;7,6;3,3;8,8;7,9;V10
2,1;2,7;1,6;3,2;1,2;6,2;4,7;V10
2,3;2,1;6,3;5,5;2;2,7;1,9;V10
8,6;3;3,3;7,3;2,2;1,6;12,8;V10
5,9;11,1;7,2;16,8;12,2;14,7;4,4;V10
3,6;4,9;4,2;5,5;3,8;3,6;5,1;V10
1,3;11,2;18,2;9,1;9,2;4,6;22;V25
6,4;7,4;7,4;5,3;11,8;14,1;16,5;V25
2,9;8,1;7,8;5,7;4,3;5,7;5,5;V25
3,4;5,5;7,8;6,1;7,4;14,9;15,2;V25
4,9;5,1;6,4;10,1;3,6;1,9;6,2;V25
1,5;1,7;1;1,6;1,9;1,6;1,2;V25
2,2;4;1,5;1,9;1,6;3,2;1,9;V25
6,6;9,6;12,3;15,7;6,5;4,7;5,5;V25
5,7;8;6,7;6,5;10,8;7,1;2,9;V25
11,1;11,2;10;14;15,7;10,3;13,2;V100
12,1;11;7,3;10,2;5,2;6,7;7;V100
3,7;19,2;15,7;12,2;9,7;20,3;13,2;V100
14;25;13,6;13,6;10,1;38;39,6;V100
6,9;13,2;15,5;9,5;10;20,2;11,5;V100
2,7;8,2;1,7;4,3;5,2;4,6;7,3;V100
5,6;11,6;3,8;9,1;9,5;12,6;5,4;V100
10,5;7,3;4,8;2,7;7,2;16,5;4,7;V100
3,3;12,6;5,7;5,9;7,9;4,9;13;V100
10,9;8,6;5,5;4,7;3,6;14,3;2,8;V250
5,6;7,3;5,4;4,1;3,3;9,7;7,3;V250
2,6;13,9;3,5;8;9,7;1,6;11,5;V250
8,6;12,7;8,9;7,8;16,5;8,8;21,4;V250
4,7;9;2,9;2,1;3,6;3,4;4,3;V250
5,4;6,7;3,4;4;1;3,4;1,7;V250
2,6;6,2;6,1;2,5;1,8;9,5;3,7;V250
5,3;9,6;6,9;6,7;6,4;2,8;13,2;V250
6,8;10,2;13,2;12,9;8,8;12,8;7,3;V250
