"Time(s)";"Treat"
6;"cont"
30;"cont"
36;"cont"
40;"cont"
39;"cont"
45;"cont"
23;"cont"
47;"cont"
47;"cont"
29;"cont"
18;"cont"
48;"cont"
23;"Venla_10"
18;"Venla_10"
31;"Venla_10"
18;"Venla_10"
22;"Venla_10"
18;"Venla_10"
4;"Venla_20"
8;"Venla_20"
3;"Venla_20"
19;"Venla_20"
19;"Venla_20"
6;"Venla_20"
12;"Venla_20"
4;"Venla_20"
34;"Venla_20"
32;"Venla_20"
20;"Venla_20"
34;"Venla_20"
10;"Venla_40"
12;"Venla_40"
6;"Venla_40"
7;"Venla_40"
8;"Venla_40"
20;"Venla_40"
18;"Venla_40"
11;"Venla_40"
28;"Venla_40"
17;"Venla_40"
0;"Venla_40"
2;"Venla_40"
6;"Venla_60"
5;"Venla_60"
2;"Venla_60"
1;"Venla_60"
5;"Venla_60"
3;"Venla_60"
