"Time(s)";"Treat"
7.8;"a_cont"
3.8;"a_cont"
5.9;"a_cont"
7.6;"a_cont"
2.3;"a_cont"
9.2;"a_cont"
2;"a_cont"
5.6;"a_cont"
7.2;"a_cont"
6.2;"a_cont"
1.2;"d_io"
7.1;"d_io"
7.3;"d_io"
2.4;"d_io"
2.2;"d_io"
2.4;"d_io"
3;"d_io"
4.7;"d_io"
2;"d_io"
3.2;"d_io"
8.1;"b_sib"
8.3;"b_sib"
12.8;"b_sib"
16.1;"b_sib"
12.4;"b_sib"
9.3;"b_sib"
10.1;"b_sib"
8.5;"b_sib"
8.3;"b_sib"
13.2;"b_sib"
15.7;"c_sib_sham"
10.2;"c_sib_sham"
14.5;"c_sib_sham"
14.8;"c_sib_sham"
9;"c_sib_sham"
6.9;"c_sib_sham"
8.4;"c_sib_sham"
14.2;"c_sib_sham"
15.3;"c_sib_sham"
10.9;"c_sib_sham"
12.2;"f_io_sib_sham"
8.6;"f_io_sib_sham"
7;"f_io_sib_sham"
20;"f_io_sib_sham"
9.3;"f_io_sib_sham"
8.7;"f_io_sib_sham"
7.2;"f_io_sib_sham"
15.8;"f_io_sib_sham"
10.6;"f_io_sib_sham"
4.7;"f_io_sib_sham"
10.8;"e_io_sib"
12.1;"e_io_sib"
8;"e_io_sib"
8.6;"e_io_sib"
14.7;"e_io_sib"
13.5;"e_io_sib"
9.7;"e_io_sib"
7.7;"e_io_sib"
9.4;"e_io_sib"
11.7;"e_io_sib"
