Time(s);Treat
6.9;a_cont
4.4;a_cont
5.4;a_cont
3.5;a_cont
8.3;a_cont
7.3;a_cont
4.6;a_cont
5.6;a_cont
8.1;a_cont
5.9;a_cont
1.8;d_Res_CARRA
3.6;d_Res_CARRA
2.8;d_Res_CARRA
16.5;d_Res_CARRA
3.3;d_Res_CARRA
12.6;d_Res_CARRA
2.3;d_Res_CARRA
4.9;d_Res_CARRA
13.6;d_Res_CARRA
5.9;d_Res_CARRA
9.9;b_SIB_1.5
8.7;b_SIB_1.5
12.3;b_SIB_1.5
17.7;b_SIB_1.5
15.8;b_SIB_1.5
20.2;b_SIB_1.5
14.8;b_SIB_1.5
17.8;b_SIB_1.5
11.8;b_SIB_1.5
19.8;b_SIB_1.5
16;e_RES_SIB
21.9;e_RES_SIB
16;e_RES_SIB
21.6;e_RES_SIB
17.3;e_RES_SIB
17.3;e_RES_SIB
3.8;e_RES_SIB
9.8;e_RES_SIB
10.4;e_RES_SIB
30.6;e_RES_SIB
9.7;c_SHAM
13.8;c_SHAM
10.9;c_SHAM
9.1;c_SHAM
12.2;c_SHAM
11.4;c_SHAM
10.1;c_SHAM
9.4;c_SHAM
11.3;c_SHAM
12;c_SHAM
10.6;SHAM_RES
8.7;SHAM_RES
4.4;SHAM_RES
7.3;SHAM_RES
7.2;SHAM_RES
7.7;SHAM_RES
5.6;SHAM_RES
8.4;SHAM_RES
8.9;SHAM_RES
9.8;SHAM_RES
