"Time(s)";"Treat"
16;"e_RES_SIB"
21.9;"e_RES_SIB"
16;"e_RES_SIB"
21.6;"e_RES_SIB"
17.3;"e_RES_SIB"
3.8;"e_RES_SIB"
2.8;"e_RES_SIB"
9.8;"e_RES_SIB"
10.4;"e_RES_SIB"
30.6;"e_RES_SIB"
9.7;"c_SHAM"
13.8;"c_SHAM"
10.9;"c_SHAM"
9.1;"c_SHAM"
12.2;"c_SHAM"
11.4;"c_SHAM"
10.1;"c_SHAM"
9.4;"c_SHAM"
11.3;"c_SHAM"
12;"c_SHAM"
10.6;"SHAM_RES"
8.7;"SHAM_RES"
4.4;"SHAM_RES"
7.3;"SHAM_RES"
7.2;"SHAM_RES"
7.7;"SHAM_RES"
5.6;"SHAM_RES"
8.4;"SHAM_RES"
8.9;"SHAM_RES"
9.8;"SHAM_RES"
16.9;"e_AMI_RES"
7.6;"e_AMI_RES"
16.3;"e_AMI_RES"
9.6;"e_AMI_RES"
8.4;"e_AMI_RES"
8.4;"e_AMI_RES"
6.2;"e_AMI_RES"
11.4;"e_AMI_RES"
11.9;"e_AMI_RES"
8.2;"e_AMI_RES"
