Time(s);Treat
6.9;a_cont
4.4;a_cont
5.4;a_cont
3.5;a_cont
7.3;a_cont
4.6;a_cont
5.6;a_cont
5.9;a_cont
1.8;d_Res_CARRA
3.6;d_Res_CARRA
2.8;d_Res_CARRA
3.3;d_Res_CARRA
12.6;d_Res_CARRA
2.3;d_Res_CARRA
4.9;d_Res_CARRA
5.9;d_Res_CARRA
8.6;b_T_AMI_10
17.2;b_T_AMI_10
16.7;b_T_AMI_10
8.2;b_T_AMI_10
8.8;b_T_AMI_10
11.1;b_T_AMI_10
14.9;b_T_AMI_10
15.5;b_T_AMI_10
7.6;e_AMI_RES
9.6;e_AMI_RES
8.4;e_AMI_RES
8.4;e_AMI_RES
6.2;e_AMI_RES
11.4;e_AMI_RES
11.9;e_AMI_RES
8.2;e_AMI_RES
9.7;c_SHAM
10.9;c_SHAM
12.2;c_SHAM
11.4;c_SHAM
10.1;c_SHAM
9.4;c_SHAM
11.3;c_SHAM
12;c_SHAM
10.6;f_SHAM_RES
8.7;f_SHAM_RES
7.3;f_SHAM_RES
7.2;f_SHAM_RES
7.7;f_SHAM_RES
8.4;f_SHAM_RES
8.9;f_SHAM_RES
9.8;f_SHAM_RES
