"Time(s)";"Treat"
6.9;"a_cont"
4.4;"a_cont"
5.4;"a_cont"
3.5;"a_cont"
8.3;"a_cont"
7.3;"a_cont"
4.6;"a_cont"
5.6;"a_cont"
8.1;"a_cont"
5.9;"a_cont"
1.8;"Res_CARRA"
3.6;"Res_CARRA"
2.8;"Res_CARRA"
16.5;"Res_CARRA"
3.3;"Res_CARRA"
12.6;"Res_CARRA"
2.3;"Res_CARRA"
4.9;"Res_CARRA"
13.6;"Res_CARRA"
5.9;"Res_CARRA"
9.9;"SIB_1.5"
8.7;"SIB_1.5"
12.3;"SIB_1.5"
17.7;"SIB_1.5"
15.8;"SIB_1.5"
20.2;"SIB_1.5"
14.8;"SIB_1.5"
17.8;"SIB_1.5"
11.8;"SIB_1.5"
19.8;"SIB_1.5"
16;"RES_SIB"
21.9;"RES_SIB"
16;"RES_SIB"
21.6;"RES_SIB"
17.3;"RES_SIB"
3.8;"RES_SIB"
2.8;"RES_SIB"
9.8;"RES_SIB"
10.4;"RES_SIB"
30.6;"RES_SIB"
15.7;"SHAM_SIB"
10.2;"SHAM_SIB"
14.5;"SHAM_SIB"
14.8;"SHAM_SIB"
9;"SHAM_SIB"
6.9;"SHAM_SIB"
8.4;"SHAM_SIB"
14.2;"SHAM_SIB"
15.3;"SHAM_SIB"
10.9;"SHAM_SIB"
9.7;"SHAM"
13.8;"SHAM"
10.9;"SHAM"
9.1;"SHAM"
12.2;"SHAM"
11.4;"SHAM"
10.1;"SHAM"
9.4;"SHAM"
11.3;"SHAM"
12;"SHAM"
