"Time(s)";"Treat"
6.9;"cont"
4.4;"cont"
5.4;"cont"
3.5;"cont"
8.3;"cont"
7.3;"cont"
4.6;"cont"
5.6;"cont"
8.1;"cont"
5.9;"cont"
9.7;"SHAM"
13.8;"SHAM"
10.9;"SHAM"
9.1;"SHAM"
12.2;"SHAM"
11.4;"SHAM"
10.1;"SHAM"
9.4;"SHAM"
11.3;"SHAM"
12;"SHAM"
7.6;"SIB_0.1"
4.9;"SIB_0.1"
6;"SIB_0.1"
7.4;"SIB_0.1"
11.5;"SIB_0.1"
3.1;"SIB_0.1"
3.8;"SIB_0.1"
9.5;"SIB_0.1"
7;"SIB_0.1"
5.6;"SIB_0.1"
10.5;"SIB_0.5"
9.2;"SIB_0.5"
8.1;"SIB_0.5"
7.6;"SIB_0.5"
7.9;"SIB_0.5"
10.1;"SIB_0.5"
13.1;"SIB_0.5"
2.6;"SIB_0.5"
10.3;"SIB_0.5"
8.7;"SIB_0.5"
9.9;"SIB_1.5"
8.7;"SIB_1.5"
12.3;"SIB_1.5"
17.7;"SIB_1.5"
15.8;"SIB_1.5"
20.2;"SIB_1.5"
14.8;"SIB_1.5"
17.8;"SIB_1.5"
11.8;"SIB_1.5"
19.8;"SIB_1.5"
15.7;"SIB_5.0"
16.8;"SIB_5.0"
22.2;"SIB_5.0"
11.8;"SIB_5.0"
15.3;"SIB_5.0"
27;"SIB_5.0"
13.9;"SIB_5.0"
10.2;"SIB_5.0"
23.8;"SIB_5.0"
10.1;"SIB_5.0"
8.6;"T_AMI_10"
17.2;"T_AMI_10"
16.7;"T_AMI_10"
8.2;"T_AMI_10"
5.3;"T_AMI_10"
8.8;"T_AMI_10"
11.1;"T_AMI_10"
4.7;"T_AMI_10"
14.9;"T_AMI_10"
15.5;"T_AMI_10"
21.2;"T_INDO_10"
17.9;"T_INDO_10"
19.7;"T_INDO_10"
13.5;"T_INDO_10"
13.2;"T_INDO_10"
7.8;"T_INDO_10"
1.8;"T_INDO_10"
12.1;"T_INDO_10"
8.3;"T_INDO_10"
11.7;"T_INDO_10"
15.7;"SHAM_SIB"
10.2;"SHAM_SIB"
14.5;"SHAM_SIB"
14.8;"SHAM_SIB"
9;"SHAM_SIB"
6.9;"SHAM_SIB"
8.4;"SHAM_SIB"
14.2;"SHAM_SIB"
15.3;"SHAM_SIB"
10.9;"SHAM_SIB"
